feature,coefficient
tenure_months,-0.4864835236108294
plan_monthly,0.31526561542419534
support_tickets_90d,0.3032910300611489
discount_rate,0.25668081296793577
email_engagement,-0.21848706758351474
avg_days_between_orders,0.19632553539931188
brand_Voltix Home,-0.15911373638651694
acquisition_channel_display,0.14947844431404156
monthly_revenue,0.1466489701288093
late_shipments_90d,0.12106595179308495
brand_VitalEdge Wellness,-0.11492733302898953
acquisition_channel_paid_search,0.07286545493139515
